Iteration,Winrate,Total Profit,Total R Multiples,Average R Multiple,Sharpe Ratio,Sortino Ratio,Omega Ratio,CAGR,Max Drawdown,MAR,CAGMAR
1,0.4931506849315068,232552.5730743562,40.83626743558374,0.5594009237751197,0.28526685278240965,1.4903627435185998,2.7000205022716215,0.13046663183619844,-0.22817615034824199,0.5717803181317614,0.5717803181317614
2,0.4666666666666667,177559.51175452786,34.90428719455206,0.4653904959273608,0.2625827951359434,1.429489540096793,2.529638716766529,0.10980354599337039,-0.1929637360049184,0.5690372101345076,0.5690372101345076
3,0.46835443037974683,200645.7468582829,38.09504756599234,0.4822157919745866,0.2532310367997675,1.2881374092522082,2.423533725048541,0.11888966520422484,-0.2380253011144019,0.49948330974732386,0.49948330974732386
4,0.4166666666666667,118702.76113228837,28.992010266292418,0.40266680925406134,0.21845205956342323,1.0090698105264528,2.0781751630101715,0.08313693876838002,-0.19864501375958712,0.4185201389902374,0.4185201389902374
5,0.4918032786885246,77936.09183715066,18.73637044113946,0.3071536137891715,0.2061955546485546,0.8314962890509586,1.9532830602907458,0.06057249181070068,-0.2167674834316306,0.27943532328641674,0.27943532328641674
6,0.4666666666666667,192843.47914221877,35.73688167010541,0.4764917556014055,0.2590373370509543,1.3023712242780237,2.5688977140187252,0.11589121912369094,-0.19048697909418114,0.6083944407895285,0.6083944407895285
7,0.4805194805194805,245553.82755971618,40.77835296030697,0.5295889994845061,0.28739282210771444,1.5768351541770276,2.744537065476117,0.13489972704001785,-0.17383580834484033,0.7760180616666477,0.7760180616666477
8,0.4342105263157895,189130.89301000524,34.13634063356885,0.4491623767574849,0.25032905642808834,1.4654513313667052,2.4439244904205477,0.11443918695138966,-0.21306567421462064,0.5371075719879462,0.5371075719879462
9,0.4473684210526316,124685.80231957865,22.92100557599996,0.30159217863157844,0.21169967590865266,1.1052364387680724,2.124389572788831,0.08612441182690733,-0.19055495301991557,0.4519662725214294,0.4519662725214294
10,0.4594594594594595,227320.53859329614,39.86805218999446,0.5387574620269522,0.281138603085762,1.6169778912238644,2.708752403489579,0.12863859829984525,-0.17160267083471784,0.7496305137566641,0.7496305137566641
11,0.43243243243243246,173585.90800579631,31.281901076618063,0.4227283929272711,0.24316633522633385,1.2648802672471782,2.338712088261527,0.10817158039960084,-0.23802530111440184,0.45445412690649406,0.45445412690649406
12,0.46153846153846156,146851.13097118455,35.03664819326645,0.5390253568194838,0.2617278934100866,1.1785062491273628,2.435358858458726,0.09660301362862245,-0.2236106231187448,0.43201441989329364,0.43201441989329364
13,0.4507042253521127,149660.7019426122,27.68196010782908,0.3898867620820997,0.23038774635507933,1.2289858281593193,2.2756628481449312,0.09787029724623575,-0.18689905250155067,0.523653255253521,0.523653255253521
14,0.5,150217.51065541094,31.021956124429032,0.47002963824892474,0.2728751850546827,1.2674350234305045,2.533024669851695,0.09811992962838945,-0.1460253293214962,0.6719377390504905,0.6719377390504905
15,0.4246575342465753,68609.84072394652,17.832191045819794,0.2442765896687643,0.15362573424808326,0.7053552480989888,1.727342634134823,0.05476140262576257,-0.23645602664699458,0.2315923319963247,0.2315923319963247
16,0.46153846153846156,76468.62862297046,23.759277162331603,0.36552734095894773,0.19676471578816399,0.7990908369716823,1.8766144511884473,0.059676538082308994,-0.21542735690239218,0.277014669540544,0.277014669540544
17,0.47297297297297297,243863.7346165146,42.250473754953255,0.5709523480399088,0.2927046660609743,1.6923505656274955,2.852809286452705,0.13433200405062085,-0.1930518386042258,0.6958338497154327,0.6958338497154327
18,0.3972602739726027,47683.634075954935,14.999854020646096,0.20547745233761774,0.1376729022484894,0.5249914259507523,1.5307540675199751,0.04059320545814016,-0.25590752310841314,0.15862450999904046,0.15862450999904046
19,0.4594594594594595,196452.99093452073,35.83797964444677,0.4842970222222536,0.2607789371669623,1.3777694098070656,2.5466070483484793,0.11728717581191606,-0.22817615034824215,0.5140203112065503,0.5140203112065503
20,0.4722222222222222,127816.58734783728,18.735655749174303,0.2602174409607542,0.23017215105571065,1.0741394453448894,2.261470693467374,0.08765932598056159,-0.21094885446330466,0.41554776964105417,0.41554776964105417
