Ticker,Entry Date,Exit Date,Allocated Capital,Shares Bought,Entry Price,Exit Price,Trade Result,Profit/Loss,Risked Capital,Initial Stop,R_Multiple,CAGR,MAR,Max Drawdown,Winrate,Sharpe Ratio,Sortino Ratio,CAGMAR,Omega Ratio
AAL ,2010-06-11,2011-02-04,6630.854701436012,667.7597681421857,9.93000030517578,9.239999771118164,-0.6900005340576154,-460.7545966402976,2583.780762503053,6.060673511662083,-0.17832573232488147,0.037365579644085045,0.43047331202232986,-0.08680115259304806,0.45555555555555555,0.24314867246857622,1.2292486655005792,0.43047331202232986,2.346979159272153
AIG ,2010-12-14,2011-02-28,6630.854701436012,128.0829562063799,51.77000045776367,37.060001373291016,-14.709999084472656,-1884.1001685323995,1878.9584371480862,37.10014513274663,-1.0027364795743527,0.037365579644085045,0.43047331202232986,-0.08680115259304806,0.45555555555555555,0.24314867246857622,1.2292486655005792,0.43047331202232986,2.346979159272153
AJG ,2010-10-27,2011-05-17,6630.854701436012,231.44344815792945,28.64999961853028,28.739999771118164,0.09000015258788352,20.82994564967956,839.9724864637839,25.020722172358575,0.024798366595758323,0.037365579644085045,0.43047331202232986,-0.08680115259304806,0.45555555555555555,0.24314867246857622,1.2292486655005792,0.43047331202232986,2.346979159272153
AAP ,2010-05-25,2011-05-24,6630.854701436012,129.94032647569222,51.02999877929688,62.20000076293945,11.170001983642571,1451.4337044886454,1315.690839172002,40.90465220786029,1.1031723116671315,0.037365579644085045,0.43047331202232986,-0.08680115259304806,0.45555555555555555,0.24314867246857622,1.2292486655005792,0.43047331202232986,2.346979159272153
ALL ,2011-04-28,2011-06-01,6513.611963177376,192.93875257756713,33.7599983215332,30.440000534057617,-3.319997787475586,-640.5562316758223,552.3742045550346,30.89704727009545,-1.1596418268514601,0.037365579644085045,0.43047331202232986,-0.08680115259304806,0.45555555555555555,0.24314867246857622,1.2292486655005792,0.43047331202232986,2.346979159272153
AAPL ,2010-09-20,2011-06-10,6630.854701436012,655.5235213043661,10.115357398986816,11.639286041259766,1.5239286422729492,998.9710697993454,938.642004428442,8.683460641780112,1.0642727100281848,0.037365579644085045,0.43047331202232986,-0.08680115259304806,0.45555555555555555,0.24314867246857622,1.2292486655005792,0.43047331202232986,2.346979159272153
ADI ,2010-11-04,2011-06-13,6630.854701436012,186.10312945990526,35.630001068115234,37.47999954223633,1.8499984741210938,344.2905055299851,1215.2782847735064,29.099867543222896,0.2833017835039743,0.037365579644085045,0.43047331202232986,-0.08680115259304806,0.45555555555555555,0.24314867246857622,1.2292486655005792,0.43047331202232986,2.346979159272153
ALK ,2011-05-05,2011-07-28,6513.611963177376,382.59101962550767,17.024999618530273,15.175000190734863,-1.8499994277954102,-707.7931673868517,1014.689045466905,14.372848905583286,-0.6975468697024945,0.037365579644085045,0.43047331202232986,-0.08680115259304806,0.45555555555555555,0.24314867246857622,1.2292486655005792,0.43047331202232986,2.346979159272153
ALGN ,2011-04-21,2011-08-02,6513.611963177376,260.64874040956937,24.989999771118164,21.1299991607666,-3.8600006103515625,-1006.1042970683037,1484.9890320345048,19.292719094829174,-0.6775163151810579,0.037365579644085045,0.43047331202232986,-0.08680115259304806,0.45555555555555555,0.24314867246857622,1.2292486655005792,0.43047331202232986,2.346979159272153
ALB ,2011-04-20,2011-08-04,6513.611963177376,100.410231037343,64.87000274658203,57.40999984741211,-7.460002899169922,-749.0606146449004,1074.279521985709,54.17109775565357,-0.6972678891433483,0.037365579644085045,0.43047331202232986,-0.08680115259304806,0.45555555555555555,0.24314867246857622,1.2292486655005792,0.43047331202232986,2.346979159272153
